,Date,SKU,Name,Brand,Average Rating,Rating Count,sponsored,price,Sales Price,Express,Link
0,20-Dec-2024,Z32CADD1858C6D6393BC3Z,"Eworld Anti-slip Yoga Sports and Exercise Mat with Carrying Strap Water Repellent Moisture Proof for Home and Gym, Grey ",Eworld,0.0,0,Y,0.0,34.95,Y,https://www.noon.com/uae-en/anti-slip-yoga-sports-and-exercise-mat-with-carrying-strap-water-repellent-moisture-proof-for-home-and-gym-grey/Z32CADD1858C6D6393BC3Z/p/?o=z32cadd1858c6d6393bc3z-1
1,20-Dec-2024,Z249EBB45716CC045A863Z,"Lemon 4-Pair Non-slip Yoga Socks, Cotton Pilates Socks with Straps, Breathable&Moisture-Wicking&Machine-Washable, Ideal for Yoga/Pilates/Ballet/Dance/Workout (Pink+Black+Grey+Brown, Fit Size 36-42) ",Lemon,0.0,0,Y,56.0,39.2,Y,https://www.noon.com/uae-en/4-pair-non-slip-yoga-socks-cotton-pilates-socks-with-straps-breathable-moisture-wicking-machine-washable-ideal-for-yoga-pilates-ballet-dance-workout-pink-black-grey-brown-fit-size-36-42/Z249EBB45716CC045A863Z/p/?o=z249ebb45716cc045a863z-1
2,20-Dec-2024,Z2F9046D53376D3F6A8B7Z,YQbest Yoga Barre Socks Non Slip Anti Skid Sticky Silicone Grips Cotton for Pilates Gym Pure Ballet Dance Barefoot Workout Ankle Multiuse Black Grey Skin Color 3Pcs ,YQbest,0.0,0,Y,69.0,48.0,Y,https://www.noon.com/uae-en/yoga-barre-socks-non-slip-anti-skid-sticky-silicone-grips-cotton-for-pilates-gym-pure-ballet-dance-barefoot-workout-ankle-multiuse-black-grey-skin-color-3pcs/Z2F9046D53376D3F6A8B7Z/p/?o=z2f9046d53376d3f6a8b7z-1
3,20-Dec-2024,Z806209A62BA1D05C47E5Z,Longchamp Longchamp Le Pliage Original Large Black Tote Bag with Handle for Women L1899089001 ,Longchamp,5.0,2,N,0.0,165.0,Y,https://www.noon.com/uae-en/longchamp-le-pliage-original-large-black-tote-bag-with-handle-for-women-l1899089001/Z806209A62BA1D05C47E5Z/p/?o=z806209a62ba1d05c47e5z-1
4,20-Dec-2024,Z8CEEC76F0B9EC0122F38Z,Longchamp Longchamp Le Pliage Original Large Navy Tote Bag for Women L1899089P68 ,Longchamp,5.0,3,N,0.0,165.0,Y,https://www.noon.com/uae-en/longchamp-le-pliage-original-large-navy-tote-bag-for-women-l1899089p68/Z8CEEC76F0B9EC0122F38Z/p/?o=z8ceec76f0b9ec0122f38z-1
5,20-Dec-2024,Z26D85EAC144F1FA830BDZ,"Vparty Thick Yoga Mat for Home Workout,183x61x0.6cm Non-Slip Exercise Fitness Yoga Mats,Eco-Friendly TPE Exercise Mats for Home Workout with strap & Carrying Bag ",Vparty,5.0,3,Y,69.95,59.9,N,https://www.noon.com/uae-en/thick-yoga-mat-for-home-workout-183x61x0-6cm-non-slip-exercise-fitness-yoga-mats-eco-friendly-tpe-exercise-mats-for-home-workout-with-strap-carrying-bag/Z26D85EAC144F1FA830BDZ/p/?o=z26d85eac144f1fa830bdz-1
6,20-Dec-2024,ZE5D7520215AA49D4ED49Z,"TYCOM Tycom Resistance Loop Bands- Resistance Exercise Bands Set Workout Bands Flex bands for Home Fitness, Stretching, Strength Training, Physical Therapy, Yoga ",TYCOM,5.0,3,Y,49.0,28.6,Y,https://www.noon.com/uae-en/tycom-resistance-loop-bands-resistance-exercise-bands-set-workout-bands-flex-bands-for-home-fitness-stretching-strength-training-physical-therapy-yoga/ZE5D7520215AA49D4ED49Z/p/?o=ze5d7520215aa49d4ed49z-1
7,20-Dec-2024,Z1FFBA90CF03B4E1CDF5CZ,"MahMir Mahmir® EVA Foam Roller for Yoga, Deep Tissue Massage, Stretching, Physical Therapy, Relieve Stress, Improve Mobility with Foam Roller for Legs and Muscles - Deep Tissue Massage Tool (Light Blue) ",MahMir,3.4,3,Y,0.0,29.95,Y,https://www.noon.com/uae-en/mahmir-eva-foam-roller-for-yoga-deep-tissue-massage-stretching-physical-therapy-relieve-stress-improve-mobility-with-foam-roller-for-legs-and-muscles-deep-tissue-massage-tool-light-blue/Z1FFBA90CF03B4E1CDF5CZ/p/?o=z1ffba90cf03b4e1cdf5cz-1
8,20-Dec-2024,Z24E1B5B4FDE8BB5C6111Z,"Bernessi 8MM Yoga Mat with Carrying Strap Anti-Slip for Home Workout Exercises Meditation Eco Friendly, Non Skid TPE Yoga Mattres for Pilates 183x61x0.8cm Thick, Pink/Black Color ",Bernessi,4.8,65,N,165.0,69.9,Y,https://www.noon.com/uae-en/8mm-yoga-mat-with-carrying-strap-anti-slip-for-home-workout-exercises-meditation-eco-friendly-non-skid-tpe-yoga-mattres-for-pilates-183x61x0-8cm-thick-pink-black-color/Z24E1B5B4FDE8BB5C6111Z/p/?o=z24e1b5b4fde8bb5c6111z-1
9,20-Dec-2024,Z212ACDF2F7760CD34A11Z,"Bernessi 8MM Yoga Mat with Carrying Strap Anti-Slip for Home Workout Exercises Meditation Eco Friendly, Non Skid TPE Yoga Mattres for Pilates 183x61x0.8cm Thick, Light Pink / Black Color ",Bernessi,5.0,4,N,180.0,61.25,Y,https://www.noon.com/uae-en/8mm-yoga-mat-with-carrying-strap-anti-slip-for-home-workout-exercises-meditation-eco-friendly-non-skid-tpe-yoga-mattres-for-pilates-183x61x0-8cm-thick-light-pink-black-color/Z212ACDF2F7760CD34A11Z/p/?o=z212acdf2f7760cd34a11z-1
